variable,note
V1317,du6c
V1329,du6c
V1341,du6c
V1388,DTX5'
V1389,DTX5'
V1390,DTX5'
V1391,DTX5'
V1392,DTX5'
V1393,DTX5'
V1394,DTX5'
V1410,RV4
V1411,RV4
V1412,RV4
V1413,RV4
V1414,RV4
V1415,RV4
V1416,RV4
V1417,RV4
V1418,RV4
V1419,RV4
V1420,RV4
V1520,p13c
V0316,cjb1-cjb4
V0317,cjb1-cjb4
V0318,cjb1-cjb4
V0319,cjb1-cjb4
V0320,cjb1-cjb4
V0321,cjb1-cjb4
V0322,cjb1-cjb4
V0323,cjb1-cjb4
V0324,cjb1-cjb4
V0325,cjb1-cjb4
V0326,cjb1-cjb4
V0327,cjb1-cjb4
V0328,cjb1-cjb4
V0329,cjb1-cjb4
V0333,cjb1-cjb4
V0334,cjb1-cjb4
V0335,cjb1-cjb4
V0336,cjb1-cjb4
V0337,cjb1-cjb4
V0338,cjb1-cjb4
V0677,cjg3
V0678,cjg3
V0679,cjg3
V0670,cjg3
V0671,cjg3
V0672,cjg3
V0673,cjg3
V0674,cjg3
V0675,cjg3
V0676,cjg3
V0677,cjg3
V0678,cjg3
V0679,cjg3
V0680,cjg3
V0681,cjg3
V0682,cjg3
V0683,cjg3
V0684,cjg3
V0685,cjg3
V0686,cjg3
V0687,cjg3
V0688,cjg3
V0689,cjg3
V0690,cjg3
V0691,cjg3
V0692,cjg3
V0693,cjg3
V0694,cjg3
V0695,cjg3
V0696,cjg3
V0697,cjg3
V0698,cjg3
V0699,cjg3
V0700,cjg3
V0721,cjg3
V0722,cjg3
V0723,cjg3
V0724,cjg3
V0725,cjg3
V0726,cjg3
V0272,cjg3
V0273,cjg3
V0274,cjg3
V0725,cjg3
V0726,cjg3
V0727,cjg3
V0728,cjg3
V0729,cjg3
V0730,cjg3
V0731,cjg3
V0732,cjg3
V0733,cjg3
V0734,cjg3
V0735,cjg3
V0736,cjg3
V0737,cjg3
V0738,cjg3
V0739,cjg3
V0740,cjg3
V0741,cjg3
V0742,cjg3
V0743,cjg3
V0744,cjg3
V0745,cjg3
V0746,cjg3
V0747,cjg3
V0748,cjg3
V0749,cjg3
V0750,cjg3
V0751,cjg3
V0752,cjg3
V0753,cjg3
V0754,cjg3
V0755,cjg3
V0756,cjg3
V0757,cjg3
V0758,cjg3
V0759,cjg3
V0760,cjg3
