variable,treatment,dk_ref,missing,description,protected characteristic
V0062,one_hot,"-9, -2,-1",-8,controlling offence type,0
V0063,one_hot,"-9, -2,-1",-8,prisoner type,0
V0069,one_hot,"-9,-2,-1",-8,type of violent offence (for controlling offence?),0
V0400,one_hot,"-9,-2,-1",-8,single offence- flat or indeterminate sentence,0
V0401,exc,"-9,-2,-1",-8,type of single/flat (single offence),0
V0402,exc,"-9,-2,-1",-8,"single offnce, flat, years",0
V0403,exc,"-9,-2,-1",-8,"single offence, flat, months",0
V0404,exc,"-9,-2,-1",-8,"single offence, flat, days",0
V0405,exc,"-9,-2,-1",-8,"min #years (single sentence, range)",0
V0406,exc,"-9,-2,-1",-8,"max # years (single sentence, range)",0
V0407,exc,"-9,-2,-1",-8,"min #months (single sentence, range)",0
V0408,exc,"-9,-2,-1",-8,"max # months (single sentence, range)",0
V0409,exc,"-9,-2,-1",-8,"min #days (single sentence, range)",0
V0410,exc,"-9,-2,-1",-8,"max #days (single sentence, range)",0
V0411,exc,"-9,-2,-1",-8,multi offence- flat or indeterminate,0
V0412,exc,"-9,-2,-1",-8,type of single/flat (multi offence),0
V0413,exc,"-9,-2,-1",-8,years (longest of multi sentences),0
V0414,exc,"-9,-2,-1",-8,months (longest of multi sentences),0
V0415,exc,"-9,-2,-1",-8,days (longest of multi sentences),0
V0416,exc,"-9,-2,-1",-8,range of time/indeterminate- multi sentence,0
V0417,exc,"-9,-2,-1",-8,"max sentence min years (longest multi, if range)",0
V0418,exc,"-9,-2,-1",-8,"max sentence max  years (longest multi, if range)  997 for life",0
V0419,exc,"-9,-2,-1",-8,"max sentence min months (longest multi, if range)",0
V0420,exc,"-9,-2,-1",-8,"max sentence max months (longest multi, if range)",0
V0421,exc,"-9,-2,-1",-8,"max sentence min days (longest multi, if range)",0
V0422,exc,"-9,-2,-1",-8,"max sentence max days (longest multi, if range)",0
V0423,cont_wnans,"-9,-2,-1",-8,if any part of sentence was ever suspended,0
V0437,,,,if offence_multi was flat or range,0
V0438,,,,if offence_multi2 was flat or range,0
V0439,,,,type of flat/range sentence,0
V0440,,,,years for multi sentence flat,0
V0441,,,,months for multi sentence flat,0
V0442,,,,days for multi sentence flat,0
V0444,,,,min years multi offence,0
V0445,,,,max years multi offence,0
V0446,,,,min months multi offence,0
V0447,,,,max months multi offence,0
V0448,,,,min days multi offence,0
V0449,,,,max days multi offence,0
V0479,one_hot,"-9,-2,-1",-8,how many people helped,0
V0480,one_hot,"-9,-2,-1",-8,one or more victim,1
